Uniprot_protein,Ensembl_gene,Ensembl_transcript,Ensembl_protein,Gene,Chr,Protein_length
Q9P0K1,ENSG00000008277.14,ENST00000265727.11,ENSP00000265727.7,ADAM22,7,906
Q9NUS5,ENSG00000125843.11,ENST00000246041.6,ENSP00000246041.2,AP5S1,20,200
Q5TZF3,ENSG00000183831.7,ENST00000333279.3,ENSP00000331268.2,ANKRD45,1,266
Q9Y4P1,ENSG00000168397.17,ENST00000404914.8,ENSP00000384259.3,ATG4B,2,393
Q06278,ENSG00000138356.14,ENST00000374700.7,ENSP00000363832.2,AOX1,2,1338
Q9H3M9,ENSG00000123594.5,ENST00000380622.4,ENSP00000369996.2,ATXN3L,X,355
P13637,ENSG00000105409.19,ENST00000648268.1,ENSP00000498113.1,ATP1A3,19,1013
P43251,ENSG00000169814.15,ENST00000672065.1,ENSP00000500403.1,BTD,3,543
Q86VB7,ENSG00000177575.12,ENST00000359156.8,ENSP00000352071.4,CD163,12,1156
Q58F21,ENSG00000137948.18,ENST00000402388.1,ENSP00000384051.1,BRDT,1,947
Q07817,ENSG00000171552.13,ENST00000307677.5,ENSP00000302564.4,BCL2L1,20,233
Q8N715,ENSG00000178395.7,ENST00000366875.5,ENSP00000355840.3,CCDC185,1,623
Q8TC90,ENSG00000197651.4,ENST00000358859.3,ENSP00000351727.2,CCER1,12,406
Q9UL15,ENSG00000166170.9,ENST00000299204.4,ENSP00000299204.4,BAG5,14,447
Q8IXM2,ENSG00000258315.5,ENST00000439424.6,ENSP00000411851.2,C17orf49,17,172
Q7RTU4,ENSG00000205899.3,ENST00000391429.1,ENSP00000375248.1,BHLHA9,17,235
Q96LY2,ENSG00000152076.18,ENST00000310463.10,ENSP00000308873.6,CCDC74B,2,380
Q9BQI4,ENSG00000151468.11,ENST00000378825.5,ENSP00000368102.3,CCDC3,10,270
Q06432,ENSG00000108878.5,ENST00000226021.5,ENSP00000226021.3,CACNG1,17,222
Q6P9F0,ENSG00000130783.14,ENST00000253079.11,ENSP00000253079.6,CCDC62,12,684
Q13185,ENSG00000122565.19,ENST00000396386.7,ENSP00000379670.2,CBX3,7,183
Q8NCU7,ENSG00000198535.5,ENST00000355522.5,ENSP00000347712.5,C2CD4A,15,369
A6NLJ0,ENSG00000205502.4,ENST00000380392.4,ENSP00000369755.3,C2CD4B,15,364
Q7Z3S7,ENSG00000284953.2,ENST00000645018.2,ENSP00000495256.1,CACNA2D4,CHR_HG1815_PATCH,1137
P07451,ENSG00000164879.7,ENST00000285381.3,ENSP00000285381.2,CA3,8,260
Q96PB1,ENSG00000127995.17,ENST00000297273.9,ENSP00000297273.4,CASD1,7,797
Q9NYQ6,ENSG00000075275.16,ENST00000262738.7,ENSP00000262738.3,CELSR1,22,3014
Q8N865,ENSG00000153790.12,ENST00000283905.8,ENSP00000283905.3,C7orf31,7,590
P0DPI3,ENSG00000283093.1,ENST00000634648.1,ENSP00000489328.1,CENPVL2,X,272
P21854,ENSG00000137101.13,ENST00000259633.9,ENSP00000259633.4,CD72,9,359
Q9UFW8,ENSG00000163320.11,ENST00000462901.5,ENSP00000418769.1,CGGBP1,3,167
Q6ZTQ4,ENSG00000128536.16,ENST00000317716.14,ENSP00000325954.9,CDHR3,7,885
O76039,ENSG00000008086.13,ENST00000379989.6,ENSP00000369325.3,CDKL5,X,1030
Q4KMG0,ENSG00000064309.14,ENST00000392693.7,ENSP00000376458.3,CDON,11,1287
Q6UXN8,ENSG00000197992.7,ENST00000355819.6,ENSP00000348074.1,CLEC9A,12,241
P46092,ENSG00000184451.5,ENST00000332438.4,ENSP00000332504.4,CCR10,17,362
Q9UK58,ENSG00000163660.11,ENST00000295926.7,ENSP00000295926.3,CCNL1,3,526
Q6ZQR2,ENSG00000188523.8,ENST00000343036.6,ENSP00000343290.2,CFAP77,9,320
Q9BQ75,ENSG00000184220.12,ENST00000421999.8,ENSP00000410396.2,CMSS1,3,279
Q9NSA3,ENSG00000178585.15,ENST00000377256.1,ENSP00000366466.1,CTNNBIP1,1,81
Q9H9A5,ENSG00000182973.18,ENST00000328834.9,ENSP00000330060.5,CNOT10,3,744
P09496,ENSG00000122705.17,ENST00000433436.6,ENSP00000401019.2,CLTA,9,248
Q8N6F1,ENSG00000164007.11,ENST00000296387.6,ENSP00000296387.1,CLDN19,1,224
Q9UDT6,ENSG00000106665.16,ENST00000223398.11,ENSP00000223398.6,CLIP2,7,1046
A6NJJ6,ENSG00000288239.1,ENST00000673482.1,ENSP00000500362.1,C19orf67,CHR_HG109_PATCH,358
Q8N436,ENSG00000121898.13,ENST00000241305.4,ENSP00000241305.3,CPXM2,10,756
P0DML3,ENSG00000213218.10,ENST00000392886.6,ENSP00000376623.2,CSH2,17,217
P78560,ENSG00000169372.13,ENST00000542893.2,ENSP00000439068.2,CRADD,12,199
Q8NHY2,ENSG00000143207.21,ENST00000367669.8,ENSP00000356641.3,COP1,1,731
Q8IUR6,ENSG00000164463.12,ENST00000296953.6,ENSP00000296953.2,CREBRF,5,639
Q6ZW13,ENSG00000159761.15,ENST00000403458.9,ENSP00000384117.3,C16orf86,16,317
O15431,ENSG00000136868.11,ENST00000374212.5,ENSP00000363329.4,SLC31A1,9,190
O75131,ENSG00000085719.13,ENST00000517490.6,ENSP00000477590.1,CPNE3,8,537
Q07973,ENSG00000019186.10,ENST00000216862.8,ENSP00000216862.3,CYP24A1,20,514
O14579,ENSG00000105669.14,ENST00000262812.9,ENSP00000262812.3,COPE,19,308
O95477,ENSG00000165029.16,ENST00000374736.8,ENSP00000363868.3,ABCA1,9,2261
P07108,ENSG00000155368.16,ENST00000355857.7,ENSP00000348116.3,DBI,2,87
P32297,ENSG00000080644.16,ENST00000326828.6,ENSP00000315602.5,CHRNA3,15,505
P61981,ENSG00000170027.7,ENST00000307630.5,ENSP00000306330.3,YWHAG,7,247
Q96P64,ENSG00000188234.13,ENST00000448048.6,ENSP00000392513.2,AGAP4,10,663
P07510,ENSG00000196811.13,ENST00000651502.1,ENSP00000498757.1,CHRNG,2,517
Q60I27,ENSG00000178038.17,ENST00000415953.5,ENSP00000413223.1,ALS2CL,3,953
Q8N7J2,ENSG00000165566.12,ENST00000515384.1,ENSP00000426528.1,AMER2,13,671
Q8N157,ENSG00000135541.21,ENST00000265602.11,ENSP00000265602.6,AHI1,6,1196
P11230,ENSG00000283946.2,ENST00000639692.2,ENSP00000492221.1,CHRNB1,CHR_HG2046_PATCH,501
O60503,ENSG00000162104.10,ENST00000294016.8,ENSP00000294016.3,ADCY9,16,1353
O75964,ENSG00000167283.8,ENST00000300688.8,ENSP00000300688.3,ATP5MG,11,103
Q68D86,ENSG00000150636.17,ENST00000360242.9,ENSP00000353377.5,CCDC102B,18,513
P54687,ENSG00000060982.15,ENST00000261192.12,ENSP00000261192.7,BCAT1,12,386
P07384,ENSG00000014216.15,ENST00000527323.5,ENSP00000431984.1,CAPN1,11,714
Q8IWA6,ENSG00000183273.7,ENST00000327554.3,ENSP00000333374.2,CCDC60,12,550
P00915,ENSG00000133742.13,ENST00000542576.5,ENSP00000443517.1,CA1,8,261
Q96CT7,ENSG00000007080.11,ENST00000597436.5,ENSP00000471455.1,CCDC124,19,223
P63098,ENSG00000221823.11,ENST00000234310.8,ENSP00000234310.3,PPP3R1,2,170
P13994,ENSG00000104957.14,ENST00000221554.13,ENSP00000221554.7,CCDC130,19,396
P31944,ENSG00000105141.6,ENST00000427043.4,ENSP00000393417.2,CASP14,19,242
Q9HC52,ENSG00000141570.11,ENST00000269385.9,ENSP00000269385.4,CBX8,17,389
Q9Y3M2,ENSG00000100211.10,ENST00000216029.7,ENSP00000216029.3,CBY1,22,126
P43166,ENSG00000168748.14,ENST00000338437.7,ENSP00000345659.2,CA7,16,264
P80098,ENSG00000108688.11,ENST00000378569.2,ENSP00000367832.2,CCL7,17,99
P09093,ENSG00000142789.20,ENST00000290122.8,ENSP00000290122.3,CELA3A,1,270
P36222,ENSG00000133048.13,ENST00000255409.8,ENSP00000255409.3,CHI3L1,1,383
Q9H5V8,ENSG00000163814.8,ENST00000296129.6,ENSP00000296129.1,CDCP1,3,836
A8MTT3,ENSG00000218739.10,ENST00000397226.2,ENSP00000380403.2,CEBPZOS,2,80
Q03701,ENSG00000115816.15,ENST00000234170.10,ENSP00000234170.5,CEBPZ,2,1054
Q8WU49,ENSG00000170279.3,ENST00000307003.3,ENSP00000304071.2,C7orf33,7,177
Q9BY43,ENSG00000285302.2,ENST00000645308.2,ENSP00000495982.2,CHMP4A,CHR_HG1_PATCH,222
Q9Y2V2,ENSG00000153048.11,ENST00000614449.4,ENSP00000480542.1,CARHSP1,16,147
P86791,ENSG00000122674.12,ENST00000325974.9,ENSP00000325681.6,CCZ1,7,482
Q99653,ENSG00000187446.12,ENST00000334660.10,ENSP00000335632.5,CHP1,15,195
O75956,ENSG00000167797.7,ENST00000301488.7,ENSP00000301488.3,CDK2AP2,11,126
O75339,ENSG00000138615.6,ENST00000261883.6,ENSP00000261883.4,CILP,15,1184
Q96MR6,ENSG00000243710.7,ENST00000372492.8,ENSP00000361570.4,CFAP57,1,1250
O00622,ENSG00000142871.17,ENST00000451137.7,ENSP00000398736.2,CCN1,1,381
Q9NY25,ENSG00000258227.7,ENST00000546910.6,ENSP00000449999.1,CLEC5A,7,188
Q96MT8,ENSG00000182923.17,ENST00000606977.5,ENSP00000475903.1,CEP63,3,703
P06729,ENSG00000116824.5,ENST00000369478.4,ENSP00000358490.3,CD2,1,351
P51798,ENSG00000103249.18,ENST00000382745.9,ENSP00000372193.4,CLCN7,16,805
Q15021,ENSG00000010292.13,ENST00000315579.10,ENSP00000325017.5,NCAPD2,12,1401
P10643,ENSG00000112936.19,ENST00000313164.10,ENSP00000322061.9,C7,5,843
Q8NE01,ENSG00000168763.16,ENST00000305510.4,ENSP00000305449.3,CNNM3,2,707
P12111,ENSG00000163359.16,ENST00000295550.9,ENSP00000295550.4,COL6A3,2,3177
Q8TBE1,ENSG00000143786.8,ENST00000272133.4,ENSP00000272133.3,CNIH3,1,160
A5D8T8,ENSG00000157322.17,ENST00000615430.4,ENSP00000484176.1,CLEC18A,16,446
O75596,ENSG00000166509.12,ENST00000299642.10,ENSP00000299642.5,CLEC3A,16,197
Q00610,ENSG00000141367.12,ENST00000269122.8,ENSP00000269122.3,CLTC,17,1675
Q96DZ5,ENSG00000105270.15,ENST00000593074.5,ENSP00000466832.1,CLIP3,19,547
P07333,ENSG00000182578.13,ENST00000286301.7,ENSP00000286301.3,CSF1R,5,972
P53618,ENSG00000129083.12,ENST00000439561.6,ENSP00000397873.2,COPB1,11,953
P05813,ENSG00000108255.7,ENST00000225387.7,ENSP00000225387.3,CRYBA1,17,215
Q16678,ENSG00000138061.12,ENST00000614273.1,ENSP00000483678.1,CYP1B1,2,543
Q8WTW3,ENSG00000166685.12,ENST00000299886.9,ENSP00000299886.4,COG1,17,980
Q5T442,ENSG00000198835.4,ENST00000366714.3,ENSP00000355675.2,GJC2,1,439
Q86UF2,ENSG00000285123.1,ENST00000643756.1,ENSP00000493497.1,CTAGE6,CHR_HG708_PATCH,777
P08574,ENSG00000179091.5,ENST00000318911.5,ENSP00000317159.4,CYC1,8,325
P35222,ENSG00000168036.18,ENST00000441708.2,ENSP00000401599.2,CTNNB1,3,781
Q9BR61,ENSG00000230124.8,ENST00000367595.4,ENSP00000356567.3,ACBD6,1,282
Q4AC99,ENSG00000205126.2,ENST00000378832.1,ENSP00000368109.1,ACCSL,11,568
Q9NXU5,ENSG00000185305.11,ENST00000504924.6,ENSP00000433427.1,ARL15,5,204
Q8N6T3,ENSG00000101199.13,ENST00000370283.9,ENSP00000359306.4,ARFGAP1,20,406
P35368,ENSG00000170214.5,ENST00000306675.5,ENSP00000306662.3,ADRA1B,5,520
P18085,ENSG00000168374.11,ENST00000303436.11,ENSP00000306010.6,ARF4,3,180
P18089,ENSG00000274286.2,ENST00000620793.2,ENSP00000480573.1,ADRA2B,2,450
P02749,ENSG00000091583.11,ENST00000205948.11,ENSP00000205948.6,APOH,17,345
A1A5B4,ENSG00000185101.13,ENST00000332826.7,ENSP00000332788.6,ANO9,11,782
Q8N5I2,ENSG00000197070.14,ENST00000371421.9,ENSP00000360475.4,ARRDC1,9,433
Q8WYN0,ENSG00000101844.18,ENST00000372232.8,ENSP00000361306.3,ATG4A,X,398
P56134,ENSG00000241468.7,ENST00000292475.7,ENSP00000292475.3,ATP5MF,7,94
Q9Y294,ENSG00000111875.8,ENST00000229595.6,ENSP00000229595.5,ASF1A,6,204
Q8TE56,ENSG00000140470.14,ENST00000268070.9,ENSP00000268070.4,ADAMTS17,15,1095
P56817,ENSG00000186318.16,ENST00000313005.10,ENSP00000318585.6,BACE1,11,501
Q96DR5,ENSG00000131050.11,ENST00000354932.6,ENSP00000347012.5,BPIFA2,20,249
Q9Y2A9,ENSG00000179913.11,ENST00000595387.1,ENSP00000472638.1,B3GNT3,19,372
Q86UU0,ENSG00000186174.12,ENST00000334801.7,ENSP00000335320.3,BCL9L,11,1499
Q9Y6J0,ENSG00000099991.18,ENST00000398319.6,ENSP00000381364.2,CABIN1,22,2220
Q9ULU8,ENSG00000163618.18,ENST00000383710.9,ENSP00000373215.4,CADPS,3,1353
Q6NSX1,ENSG00000123171.6,ENST00000242819.5,ENSP00000242819.4,CCDC70,13,233
A2RUB6,ENSG00000180376.17,ENST00000394672.8,ENSP00000378167.3,CCDC66,3,948
Q96LT6,ENSG00000162757.4,ENST00000294811.2,ENSP00000294811.1,C1orf74,1,269
Q9BXJ1,ENSG00000173918.15,ENST00000354124.7,ENSP00000343230.4,C1QTNF1,17,281
Q9UK00,ENSG00000088543.15,ENST00000449241.5,ENSP00000404913.1,C3orf18,3,162
Q8NFR7,ENSG00000153237.18,ENST00000283233.10,ENSP00000283233.5,CCDC148,2,591
P09871,ENSG00000182326.15,ENST00000360817.10,ENSP00000354057.5,C1S,12,688
Q17RM4,ENSG00000135637.14,ENST00000393965.8,ENSP00000377537.3,CCDC142,2,750
P42574,ENSG00000164305.19,ENST00000523916.5,ENSP00000428929.1,CASP3,4,277
Q4AC94,ENSG00000168014.16,ENST00000334126.11,ENSP00000334379.7,C2CD3,11,2353
P00918,ENSG00000104267.10,ENST00000285379.10,ENSP00000285379.4,CA2,8,260
Q9NQ75,ENSG00000087589.16,ENST00000360314.7,ENSP00000353462.3,CASS4,20,786
Q7Z7H3,ENSG00000158428.4,ENST00000289388.4,ENSP00000289388.3,CATIP,2,387
Q6DHV5,ENSG00000188649.14,ENST00000646931.2,ENSP00000496666.2,CC2D2B,10,1437
Q15782,ENSG00000064886.14,ENST00000369748.9,ENSP00000358763.4,CHI3L2,1,390
Q9NRG0,ENSG00000104472.10,ENST00000220913.10,ENSP00000220913.5,CHRAC1,8,131
Q9UHD1,ENSG00000285023.2,ENST00000646618.2,ENSP00000496744.1,CHORDC1,CHR_HSCHR11_2_CTG8,332
P07858,ENSG00000164733.21,ENST00000534510.5,ENSP00000434217.1,CTSB,8,339
Q9UKJ5,ENSG00000109220.11,ENST00000263921.8,ENSP00000263921.3,CHIC2,4,165
P35790,ENSG00000110721.12,ENST00000265689.9,ENSP00000265689.4,CHKA,11,457
Q5TBE3,ENSG00000187753.13,ENST00000617985.1,ENSP00000484765.1,C9orf153,9,101
Q9Y375,ENSG00000137806.9,ENST00000260361.9,ENSP00000260361.4,NDUFAF1,15,327
Q16667,ENSG00000100526.20,ENST00000335183.11,ENSP00000335357.6,CDKN3,14,212
P34810,ENSG00000129226.14,ENST00000250092.11,ENSP00000250092.6,CD68,17,354
Q8N1B3,ENSG00000262919.8,ENST00000576892.8,ENSP00000461135.1,CCNQ,X,248
Q15762,ENSG00000150637.9,ENST00000582621.6,ENSP00000461947.1,CD226,18,336
P51677,ENSG00000183625.15,ENST00000395942.2,ENSP00000379273.2,CCR3,3,355
O75794,ENSG00000151465.14,ENST00000281141.9,ENSP00000281141.4,CDC123,10,336
P35523,ENSG00000188037.12,ENST00000343257.7,ENSP00000339867.2,CLCN1,7,988
Q96S94,ENSG00000221978.12,ENST00000400809.8,ENSP00000383611.3,CCNL2,1,520
Q6ZU45,ENSG00000188585.9,ENST00000623247.2,ENSP00000490899.1,CLEC20A,1,400
Q9GZY4,ENSG00000106603.18,ENST00000223336.10,ENSP00000223336.6,COA1,7,146
Q7Z7L8,ENSG00000187479.8,ENST00000339446.3,ENSP00000498932.1,C11orf96,11,435
Q96JQ2,ENSG00000165959.12,ENST00000298912.9,ENSP00000298912.3,CLMN,14,1002
Q8N5K1,ENSG00000145354.12,ENST00000273986.10,ENSP00000273986.4,CISD2,4,135
P15509,ENSG00000198223.16,ENST00000432318.8,ENSP00000416437.2,CSF2RA,X,400
Q8TAV5,ENSG00000174370.10,ENST00000310799.8,ENSP00000307879.3,C11orf45,11,145
Q5HYK3,ENSG00000110871.15,ENST00000288532.11,ENSP00000288532.6,COQ5,12,327
Q9UNS2,ENSG00000141030.13,ENST00000268717.10,ENSP00000268717.5,COPS3,17,423
Q92905,ENSG00000121022.14,ENST00000357849.9,ENSP00000350512.4,COPS5,8,334
Q9H336,ENSG00000121005.9,ENST00000262207.9,ENSP00000262207.4,CRISPLD1,8,500
Q14746,ENSG00000135775.14,ENST00000366669.9,ENSP00000355629.4,COG2,1,738
Q9Y281,ENSG00000165410.15,ENST00000341223.8,ENSP00000340635.3,CFL2,14,166
O75881,ENSG00000172817.4,ENST00000310193.4,ENSP00000310721.3,CYP7B1,8,506
P50416,ENSG00000110090.13,ENST00000539743.5,ENSP00000446108.1,CPT1A,11,773
Q7Z4G1,ENSG00000188243.12,ENST00000377615.7,ENSP00000366841.3,COMMD6,13,85
P52943,ENSG00000182809.10,ENST00000329146.8,ENSP00000328521.4,CRIP2,14,208
Q8NI51,ENSG00000124092.12,ENST00000371196.6,ENSP00000360239.2,CTCFL,20,663
Q5SW24,ENSG00000164488.12,ENST00000366795.4,ENSP00000355760.3,DACT2,6,774
Q5TAT6,ENSG00000197467.15,ENST00000398978.8,ENSP00000381949.3,COL13A1,10,717
Q6NUT2,ENSG00000177990.12,ENST00000324472.9,ENSP00000315988.4,DPY19L2,12,758
Q7Z5M8,ENSG00000131969.15,ENST00000337334.7,ENSP00000336693.2,ABHD12B,14,362
O60218,ENSG00000198074.10,ENST00000359579.5,ENSP00000352584.4,AKR1B10,7,316
Q8WU67,ENSG00000158201.10,ENST00000289119.7,ENSP00000289119.2,ABHD3,18,409
Q9ULW3,ENSG00000146109.5,ENST00000274849.3,ENSP00000274849.1,ABT1,6,272
P54646,ENSG00000162409.11,ENST00000371244.9,ENSP00000360290.4,PRKAA2,1,552
Q5FVE4,ENSG00000130377.13,ENST00000586696.5,ENSP00000465589.1,ACSBG2,19,666
Q86SJ2,ENSG00000139211.6,ENST00000429635.1,ENSP00000406020.1,AMIGO2,12,522
Q8IY45,ENSG00000151743.11,ENST00000281471.11,ENSP00000281471.6,AMN1,12,258
Q53H80,ENSG00000135334.9,ENST00000257787.6,ENSP00000257787.5,AKIRIN2,6,203
P35858,ENSG00000099769.5,ENST00000215539.3,ENSP00000215539.3,IGFALS,16,605
O60706,ENSG00000069431.11,ENST00000261201.8,ENSP00000261201.4,ABCC9,12,1549
Q96QP1,ENSG00000073331.18,ENST00000650871.1,ENSP00000498374.1,ALPK1,4,1244
O60241,ENSG00000121753.12,ENST00000373658.7,ENSP00000362762.3,ADGRB2,1,1585
Q13085,ENSG00000275176.4,ENST00000613687.4,ENSP00000483674.1,ACACA,CHR_HSCHR17_7_CTG4,2346
Q8WXG9,ENSG00000164199.18,ENST00000405460.9,ENSP00000384582.2,ADGRV1,5,6306
Q7Z695,ENSG00000133597.11,ENST00000072869.9,ENSP00000072869.4,ADCK2,7,626
O00116,ENSG00000018510.16,ENST00000264167.10,ENSP00000264167.4,AGPS,2,658
Q8TER5,ENSG00000165801.10,ENST00000298694.9,ENSP00000298694.4,ARHGEF40,14,1519
Q5FYB0,ENSG00000180801.14,ENST00000315366.8,ENSP00000320219.7,ARSJ,4,599
O75366,ENSG00000135407.10,ENST00000257861.7,ENSP00000257861.3,AVIL,12,819
P0DN25,ENSG00000223658.8,ENST00000475092.4,ENSP00000489061.1,C1GALT1C1L,2,315
Q04656,ENSG00000165240.20,ENST00000341514.11,ENSP00000345728.6,ATP7A,X,1500
P32247,ENSG00000102239.5,ENST00000370648.4,ENSP00000359682.3,BRS3,X,399
Q9Y2F9,ENSG00000132640.15,ENST00000378226.7,ENSP00000367471.2,BTBD3,20,522
Q8WU43,ENSG00000273045.6,ENST00000650052.1,ENSP00000497775.1,C2orf15,2,125
Q5T5Y3,ENSG00000130559.19,ENST00000389532.9,ENSP00000374183.4,CAMSAP1,9,1602
P60827,ENSG00000184471.8,ENST00000328449.6,ENSP00000330426.5,C1QTNF8,16,252
P49662,ENSG00000196954.14,ENST00000444739.7,ENSP00000388566.2,CASP4,11,377
Q9NTU7,ENSG00000054803.4,ENST00000064571.3,ENSP00000064571.2,CBLN4,20,201
P51878,ENSG00000137757.11,ENST00000260315.8,ENSP00000260315.3,CASP5,11,434
O15335,ENSG00000136457.10,ENST00000258969.4,ENSP00000258969.4,CHAD,17,359
P49450,ENSG00000115163.15,ENST00000335756.9,ENSP00000336868.4,CENPA,2,140
O14647,ENSG00000173575.22,ENST00000394196.9,ENSP00000377747.4,CHD2,15,1828
Q3L8U1,ENSG00000177200.17,ENST00000447540.5,ENSP00000396345.2,CHD9,16,2897
P24941,ENSG00000123374.11,ENST00000266970.9,ENSP00000266970.4,CDK2,12,298
Q9C0I3,ENSG00000184305.15,ENST00000509176.5,ENSP00000425040.1,CCSER1,4,900
Q0VF96,ENSG00000128849.10,ENST00000281282.5,ENSP00000281282.5,CGNL1,15,1302
Q9UHD4,ENSG00000285199.1,ENST00000642223.1,ENSP00000493738.1,CIDEB,CHR_HG1_PATCH,219
P28906,ENSG00000174059.17,ENST00000310833.12,ENSP00000310036.7,CD34,1,385
Q8N5B7,ENSG00000139624.14,ENST00000317551.12,ENSP00000325485.6,CERS5,12,392
A0A1B0GUA9,ENSG00000283302.3,ENST00000636000.3,ENSP00000490261.2,C13orf46,CHR_HG2288_HG2289_PATCH,212
Q13956,ENSG00000139053.3,ENST00000266395.3,ENSP00000266395.2,PDE6H,12,83
Q86X95,ENSG00000138433.16,ENST00000342016.8,ENSP00000339723.3,CIR1,2,450
Q9NQ89,ENSG00000047621.12,ENST00000545746.5,ENSP00000439996.1,C12orf4,12,552
Q8WW14,ENSG00000165863.17,ENST00000588184.2,ENSP00000465712.1,C10orf82,10,234
Q13286,ENSG00000188603.19,ENST00000569430.6,ENSP00000454229.1,CLN3,16,438
Q8N123,ENSG00000147183.10,ENST00000614120.1,ENSP00000484986.1,CPXCR1,X,301
Q96SN8,ENSG00000136861.18,ENST00000349780.9,ENSP00000343818.4,CDK5RAP2,9,1893
Q8WW18,ENSG00000270806.2,ENST00000605587.2,ENSP00000475146.1,C17orf50,17,174
Q9NQ79,ENSG00000095713.14,ENST00000370597.8,ENSP00000359629.3,CRTAC1,10,661
P53621,ENSG00000122218.16,ENST00000241704.8,ENSP00000241704.7,COPA,1,1224
Q9NVV2,ENSG00000221916.4,ENST00000408991.4,ENSP00000386230.2,C19orf73,19,129
P61201,ENSG00000166200.15,ENST00000388901.10,ENSP00000373553.5,COPS2,15,443
Q8N1P7,ENSG00000176092.15,ENST00000308182.9,ENSP00000310435.6,CRYBG2,1,1661
O14618,ENSG00000173992.9,ENST00000533244.6,ENSP00000436318.1,CCS,11,274
Q8IYS4,ENSG00000166246.14,ENST00000299320.10,ENSP00000299320.4,C16orf71,16,520
Q9BT78,ENSG00000138663.9,ENST00000264389.7,ENSP00000264389.2,COPS4,4,406
Q96I36,ENSG00000178449.9,ENST00000548985.1,ENSP00000447776.1,COX14,12,57
P04632,ENSG00000126247.11,ENST00000588815.5,ENSP00000464849.1,CAPNS1,19,268
Q9Y6A2,ENSG00000036530.9,ENST00000261835.8,ENSP00000261835.3,CYP46A1,14,500
Q8IUI8,ENSG00000176390.12,ENST00000324238.7,ENSP00000318804.6,CRLF3,17,442
Q9UKF6,ENSG00000119203.14,ENST00000238112.8,ENSP00000238112.3,CPSF3,2,684
Q9UBG3,ENSG00000143536.7,ENST00000271835.3,ENSP00000271835.3,CRNN,1,495
A8K7I4,ENSG00000016490.16,ENST00000394711.2,ENSP00000378200.1,CLCA1,1,914
O43174,ENSG00000095596.12,ENST00000224356.5,ENSP00000224356.4,CYP26A1,10,497
A5YM72,ENSG00000172508.10,ENST00000307823.7,ENSP00000308268.3,CARNS1,11,827
Q9H693,ENSG00000260456.6,ENST00000253461.8,ENSP00000253461.4,C16orf95,16,158
P07320,ENSG00000285434.2,ENST00000644920.2,ENSP00000496652.1,CRYGD,CHR_HSCHR2_8_CTG7_2,174
P06850,ENSG00000147571.5,ENST00000276571.5,ENSP00000276571.3,CRH,8,196
Q9NUJ1,ENSG00000144827.9,ENST00000273359.8,ENSP00000273359.3,ABHD10,3,306
Q9NPB9,ENSG00000129048.7,ENST00000249887.3,ENSP00000249887.2,ACKR4,3,350
A7E2S9,ENSG00000163046.15,ENST00000409867.5,ENSP00000386398.1,ANKRD30BL,2,258
Q9BV23,ENSG00000163686.15,ENST00000295962.8,ENSP00000295962.4,ABHD6,3,337
Q96Q42,ENSG00000003393.15,ENST00000264276.11,ENSP00000264276.6,ALS2,2,1657
O95433,ENSG00000100591.8,ENST00000216479.8,ENSP00000216479.3,AHSA1,14,338
P15121,ENSG00000085662.14,ENST00000285930.9,ENSP00000285930.3,AKR1B1,7,316
Q9H9G7,ENSG00000126070.20,ENST00000373191.9,ENSP00000362287.3,AGO3,1,860
Q96CM8,ENSG00000167107.12,ENST00000300441.8,ENSP00000300441.4,ACSF2,17,615
Q08AH1,ENSG00000166743.9,ENST00000520010.5,ENSP00000428047.1,ACSM1,16,577
Q66PJ3,ENSG00000182196.13,ENST00000315580.9,ENSP00000313422.6,ARL6IP4,12,421
Q5T9G4,ENSG00000157343.8,ENST00000373866.3,ENSP00000362973.3,ARMC12,6,340
Q9UPS8,ENSG00000107890.16,ENST00000376087.4,ENSP00000365255.4,ANKRD26,10,1710
P36405,ENSG00000138175.9,ENST00000260746.6,ENSP00000260746.4,ARL3,10,182
Q86XS5,ENSG00000187151.7,ENST00000334289.7,ENSP00000335255.3,ANGPTL5,11,388
O43150,ENSG00000151693.11,ENST00000281419.8,ENSP00000281419.3,ASAP2,2,1006
P55056,ENSG00000267467.4,ENST00000592954.2,ENSP00000468236.1,APOC4,19,127
Q15389,ENSG00000154188.10,ENST00000517746.6,ENSP00000428340.1,ANGPT1,8,498
Q9Y5C1,ENSG00000132855.5,ENST00000371129.4,ENSP00000360170.3,ANGPTL3,1,460
P54802,ENSG00000108784.10,ENST00000225927.7,ENSP00000225927.1,NAGLU,17,743
Q9Y574,ENSG00000005981.13,ENST00000325885.6,ENSP00000321388.5,ASB4,7,426
O15144,ENSG00000163466.16,ENST00000295685.14,ENSP00000295685.10,ARPC2,2,300
Q07021,ENSG00000108561.8,ENST00000225698.8,ENSP00000225698.4,C1QBP,17,282
Q5PSV4,ENSG00000100916.14,ENST00000216807.12,ENSP00000216807.6,BRMS1L,14,323
O95972,ENSG00000130385.6,ENST00000252677.4,ENSP00000252677.3,BMP15,X,392
Q9NY30,ENSG00000137707.13,ENST00000356018.6,ENSP00000348300.2,BTG4,11,223
Q8TDH9,ENSG00000188428.20,ENST00000397457.7,ENSP00000380598.2,BLOC1S5,6,187
Q13895,ENSG00000112578.10,ENST00000230340.9,ENSP00000230340.4,BYSL,6,437
Q6ZMB0,ENSG00000198488.10,ENST00000622824.1,ENSP00000484640.1,B3GNT6,11,384
